City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,berezovyy,51.6667,135.7,-4.18,96,13,4.68,RU,1737317270
216,inhambane,-23.865,35.3833,80.6,82,20,10.76,MZ,1737317273
217,rongelap,11.1635,166.8941,80.22,79,73,22.46,MH,1737317275
218,patacamaya,-17.2333,-67.9167,53.28,66,100,8.99,BO,1737317276
219,oranjemund,-28.55,16.4333,62.29,89,0,9.91,NA,1737317277
220,portland,45.5234,-122.6762,43.09,71,1,4.0,US,1737317020
221,puerto lempira,15.2667,-83.7667,84.47,62,66,10.63,HN,1737317279
222,cambe,-23.2758,-51.2783,86.68,66,40,3.44,BR,1737317281
223,port lincoln,-34.7333,135.8667,68.61,80,100,11.01,AU,1737317282
224,tarija,-21.5355,-64.7296,78.71,53,40,9.22,BO,1737317198
225,susuman,62.7833,148.1667,-51.36,100,90,0.31,RU,1737317284
226,sao felix do xingu,-6.6447,-51.995,76.73,97,100,1.25,BR,1737317285
227,kodinsk,58.6881,99.1844,14.54,90,100,9.33,RU,1737317176
228,coahuayana de hidalgo,18.7,-103.6583,86.52,49,2,7.4,MX,1737317287
229,port mathurin,-19.6833,63.4167,79.77,74,17,17.43,MU,1737317289
230,george town,5.4112,100.3354,80.53,69,20,4.61,MY,1737317290
231,klyuchi,52.2667,79.1667,19.04,92,94,9.19,RU,1737317291
232,kirensk,57.7853,108.1119,14.68,92,100,12.03,RU,1737317292
233,kone,-21.0595,164.8658,75.81,91,100,4.09,NC,1737317293
234,konstantinovka,49.6167,127.9833,-18.56,100,32,3.65,RU,1737317295
235,talnakh,69.4865,88.3972,-41.8,100,89,3.76,RU,1737317296
236,kursk,51.7303,36.1939,28.6,86,6,8.95,RU,1737317298
237,broken hill,-31.95,141.4333,76.87,29,57,9.95,AU,1737317299
238,barcelos,41.5388,-8.6151,48.54,92,100,7.47,PT,1737317050
239,weston,26.1004,-80.3998,86.0,70,1,7.0,US,1737317301
240,saint-pierre,-21.3393,55.4781,80.28,69,0,4.61,RE,1737317302
241,puerto santa,-8.9906,-78.6456,72.55,76,68,12.41,PE,1737317303
242,fortaleza,-3.7227,-38.5247,80.73,83,75,3.44,BR,1737317068
243,swakopmund,-22.6833,14.5333,62.98,84,11,7.0,NA,1737317305
244,great bend,38.3645,-98.7648,20.03,50,97,1.01,US,1737317306
245,korla,41.7597,86.1469,17.28,77,100,5.79,CN,1737317307
246,tibanbang,6.6315,126.1055,79.74,81,85,2.35,PH,1737317309
247,cabo san lucas,22.8909,-109.9124,71.76,51,40,5.01,MX,1737317310
248,hidrolandia,-4.4081,-40.4378,78.15,86,99,2.37,BR,1737317311
249,bereznik,62.8551,42.7072,28.36,94,100,7.85,RU,1737317312
250,mil'kovo,55.6078,37.7956,30.63,47,65,10.18,RU,1737317313
251,palembang,-2.9167,104.7458,77.09,94,40,5.75,ID,1737317315
252,aasiaat,68.7098,-52.8699,20.39,72,100,13.06,GL,1737317316
253,norfolk,42.1668,-71.2495,43.63,74,100,1.01,US,1737317317
254,goure,13.9835,10.2704,75.74,15,36,8.14,NE,1737317318
255,gizo,-8.103,156.8419,83.44,77,100,8.43,SB,1737317319
256,pisco,-13.7,-76.2167,77.05,65,31,23.02,PE,1737317043
257,ust'-kut,56.7938,105.7672,14.88,89,100,8.81,RU,1737317322
258,embarcacion,-23.209,-64.096,85.21,58,60,9.22,AR,1737317323
259,severo-yeniseyskiy,60.3725,93.0408,5.95,90,100,11.99,RU,1737317324
260,bairnsdale,-37.8333,147.6167,55.06,97,14,1.63,AU,1737317309
261,port saint john's,-31.6229,29.5448,77.43,93,98,7.25,ZA,1737317326
262,fale old settlement,-9.3852,-171.2468,82.9,74,100,17.27,TK,1737317327
